Channel,tx_sector,rx_sector,attenuator(dbm),角度,时间(s),速率（Mbits/sec),RSSI
2,,,,,1,90.70,-44
2,,,,,2,94.40,-44
2,,,,,3,95.50,-44
2,,,,,4,94.00,-44
2,,,,,5,94.40,-44
2,,,,,6,95.90,-44
2,,,,,7,94.50,-44
2,,,,,8,94.90,-44
2,,,,,9,95.10,-44
2,,,,,10,94.50,-44
2,,,,,avg,94.40,-44
2,,,,,avg,94.20,-44
