37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam phyId <==> 0
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam nss <==> 1
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam gI <==> 50
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam channel <==> 5210
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam txMode <==> 3
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam rateBitIndex0 <==> 31
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam rateBw <==> 10
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam wlanMode <==> 4
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam pktLen0 <==> 4000
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam txChain0 <==> 1
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam agg <==> 1
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam shortGuard <==> 0
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam numPackets <==> 0
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam broadcast <==> 0
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam rxStation <==> D0:C0:C0:C0:00:00
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam txStation <==> E0:C0:C0:C0:00:00
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam bssid <==> F0:C0:C0:C0:00:00
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam aifsn <==> 0
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam scramblerOff <==> 0
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam flags <==> 24
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam txPattern <==> 0
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam gI <==> 50
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam ctrlFlag <==> 0
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam dutyCycle <==> 10
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam tpcm <==> 0
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam txPower0 <==> 10
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam ppduType <==> 0
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam dcm <==> 0
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam scanProfile <==> 0
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:11:405	,LOG_FN,FTM_WLAN_TLV2_AddParam puncBwMask <==> 0
37:11:405	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_TLV2_Complete
37:11:405	,LOG_FN,FTM_WLAN_TLV2_Complete. opCode:1
37:11:405	,LOG_FN,QLIB_GetTimeOut( eTimeOutId = 0 )
37:11:405	,LOG_RET,QLIB_GetTimeOut( eTimeOutId = 0, iNewValue_ms = 4000)
