2025-04-15 10:04:14 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:15 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:15 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:15 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:16 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:16 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:16 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:16 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:17 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:17 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:17 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:17 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:18 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:18 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:18 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:18 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:18 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:19 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:19 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:19 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:20 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:20 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:20 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:20 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:21 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:21 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:21 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:21 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:22 [12764] INFO  : Stop Iperf3 Client
