2021-05-20 17:17:21 [15544] INFO  : CreateSubWndImpl : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\JGW_UiLibViewResolver.dll,clsid: JGW::CCJGWUiLibPluginViewResolver
2021-05-20 17:17:21 [15544] INFO  : LoadSubPluginSubWndImpl : CTSECalConfigPlugin.dll
2021-05-20 17:17:21 [15544] INFO  : LoadSubWndPlugin loadLibrary(path:C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSECalConfigPlugin.dll)
2021-05-20 17:17:21 [15544] INFO  : CreateSubWndImpl : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSECalConfigPlugin.dll,clsid: JGW::CCTSECalConfigDlg
2021-05-20 17:17:28 [15544] INFO  : CCJGWMainDlg::CloseSubPluginView
2021-05-20 17:17:28 [15544] INFO  : CCJGWUIEvent::CloseSubPluginView
2021-05-20 17:17:28 [15544] INFO  : CloseSubPluginView : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSECalConfigPlugin.dll
2021-05-20 17:17:28 [15544] INFO  : CCJGWMainDlg::DestroySubPlugin
2021-05-20 17:17:28 [15544] INFO  : CCJGWUIEvent::DestroySubPlugin
2021-05-20 17:17:28 [15544] INFO  : DestroyClassPtr clsid : JGW::CCJGWUiLibPluginViewResolver,ptr : 057506F8
2021-05-20 17:17:28 [15544] INFO  : CJGWLoadSubPlugin::FreeSubPlugin:unloadlibrary C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSECalConfigPlugin.dll
2021-05-20 17:17:28 [15544] INFO  : CreateSubWndImpl : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\JGW_UiLibViewResolver.dll,clsid: JGW::CCJGWUiLibPluginViewResolver
2021-05-20 17:17:29 [15544] INFO  : LoadSubPluginSubWndImpl : CTSEThroughTestPlugin.dll
2021-05-20 17:17:29 [15544] INFO  : LoadSubWndPlugin loadLibrary(path:C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSEThroughTestPlugin.dll)
2021-05-20 17:17:29 [15544] INFO  : CreateSubWndImpl : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSEThroughTestPlugin.dll,clsid: JGW::CCTSEThroughTestDlg
2021-05-20 17:17:31 [15544] INFO  : CCJGWMainDlg::CloseSubPluginView
2021-05-20 17:17:31 [15544] INFO  : CCJGWUIEvent::CloseSubPluginView
2021-05-20 17:17:31 [15544] INFO  : CloseSubPluginView : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSEThroughTestPlugin.dll
2021-05-20 17:17:31 [15544] INFO  : CCJGWMainDlg::DestroySubPlugin
2021-05-20 17:17:31 [15544] INFO  : CCJGWUIEvent::DestroySubPlugin
2021-05-20 17:17:31 [15544] INFO  : DestroyClassPtr clsid : JGW::CCJGWUiLibPluginViewResolver,ptr : 057506F8
2021-05-20 17:17:31 [15544] INFO  : CJGWLoadSubPlugin::FreeSubPlugin:unloadlibrary C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSEThroughTestPlugin.dll
2021-05-20 17:17:31 [15544] INFO  : CreateSubWndImpl : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\JGW_UiLibViewResolver.dll,clsid: JGW::CCJGWUiLibPluginViewResolver
2021-05-20 17:17:31 [15544] INFO  : LoadSubPluginSubWndImpl : CRFCalVerTestPlugin.dll
2021-05-20 17:17:31 [15544] INFO  : LoadSubWndPlugin loadLibrary(path:C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CRFCalVerTestPlugin.dll)
2021-05-20 17:17:31 [15544] INFO  : CreateSubWndImpl : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CRFCalVerTestPlugin.dll,clsid: JGW::CCRFCalVerTestView
2021-05-20 17:17:32 [15544] INFO  : CCJGWMainDlg::CloseSubPluginView
2021-05-20 17:17:32 [15544] INFO  : CCJGWUIEvent::CloseSubPluginView
2021-05-20 17:17:32 [15544] INFO  : CloseSubPluginView : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CRFCalVerTestPlugin.dll
2021-05-20 17:17:32 [15544] INFO  : CCJGWMainDlg::DestroySubPlugin
2021-05-20 17:17:32 [15544] INFO  : CCJGWUIEvent::DestroySubPlugin
2021-05-20 17:17:32 [15544] INFO  : DestroyClassPtr clsid : JGW::CCJGWUiLibPluginViewResolver,ptr : 057506F8
2021-05-20 17:17:32 [15544] INFO  : CJGWLoadSubPlugin::FreeSubPlugin:unloadlibrary C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CRFCalVerTestPlugin.dll
2021-05-20 17:17:32 [15544] INFO  : CreateSubWndImpl : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\JGW_UiLibViewResolver.dll,clsid: JGW::CCJGWUiLibPluginViewResolver
2021-05-20 17:17:32 [15544] INFO  : LoadSubPluginSubWndImpl : CRFCalVerTestPlugin.dll
2021-05-20 17:17:32 [15544] INFO  : LoadSubWndPlugin loadLibrary(path:C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CRFCalVerTestPlugin.dll)
2021-05-20 17:17:32 [15544] INFO  : CreateSubWndImpl : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CRFCalVerTestPlugin.dll,clsid: JGW::CCRFCalVerTestView
2021-05-20 17:17:33 [15544] INFO  : CCJGWMainDlg::OnCloseWindow
2021-05-20 17:17:33 [16508] ERROR : ReadSocket Error:由本地系统中止网络连接。
2021-05-20 17:17:33 [16508] ERROR : ReadSocket Error:由本地系统中止网络连接。
2021-05-20 17:17:33 [16508] ERROR : 由本地系统中止网络连接。
2021-05-20 17:17:33 [15544] INFO  : CCJGWMainDlg::CloseSubPluginView
2021-05-20 17:17:33 [15544] INFO  : CCJGWUIEvent::CloseSubPluginView
2021-05-20 17:17:33 [15544] INFO  : CloseSubPluginView : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CRFCalVerTestPlugin.dll
2021-05-20 17:17:33 [15544] INFO  : CCJGWMainDlg::DestroySubPlugin
2021-05-20 17:17:33 [15544] INFO  : CCJGWUIEvent::DestroySubPlugin
2021-05-20 17:17:33 [15544] INFO  : DestroyClassPtr clsid : JGW::CCJGWUiLibPluginViewResolver,ptr : 057506F8
2021-05-20 17:17:33 [15544] INFO  : CJGWLoadSubPlugin::FreeSubPlugin:unloadlibrary C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CRFCalVerTestPlugin.dll
2021-05-20 17:21:57 [17360] INFO  : FTP Host:192.168.8.10,UserName:jiebuser,Port:26
2021-05-20 17:21:57 [17360] INFO  : FTP File Path:/JaGuarWaveTestPlatform_Log//upload.ini,Save File Path:C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\upload.ini
2021-05-20 17:21:57 [17360] INFO  : Curl FTP Download Msg:
2021-05-20 17:21:57 [17360] INFO  : Package Log File Fail(TestLog),Update File Is Empty
