257
273,31,1,0
273,0,0,0
273,0,1,0
273,1,0,0
273,1,1,0
273,2,0,0
273,2,1,0
273,3,0,0
273,3,1,0
273,4,0,0
273,4,1,0
273,5,0,0
273,5,1,0
273,6,0,0
273,6,1,0
273,7,0,0
273,7,1,0
273,8,0,0
273,8,1,0
273,9,0,0
273,9,1,0
273,10,0,0
273,10,1,0
273,11,0,0
273,11,1,0
273,12,0,0
273,12,1,0
273,13,0,0
273,13,1,0
273,14,0,0
273,14,1,0
273,15,0,0
273,15,1,0
273,16,0,0
273,16,1,0
273,17,0,0
273,17,1,0
273,18,0,0
273,18,1,0
273,19,0,0
273,19,1,0
273,20,0,0
273,20,1,0
273,21,0,0
273,21,1,0
273,22,0,0
273,22,1,0
273,23,0,0
273,23,1,0
273,24,0,0
273,24,1,0
273,25,0,0
273,25,1,0
273,26,0,0
273,26,1,0
273,27,0,0
273,27,1,0
273,28,0,0
273,28,1,0
273,29,0,0
273,29,1,0
273,30,0,0
273,30,1,0
273,31,0,0
273,31,1,0
273,0,0,1
273,0,1,1
273,1,0,1
273,1,1,1
273,2,0,1
273,2,1,1
273,3,0,1
273,3,1,1
273,4,0,1
273,4,1,1
273,5,0,1
273,5,1,1
273,6,0,1
273,6,1,1
273,7,0,1
273,7,1,1
273,8,0,1
273,8,1,1
273,9,0,1
273,9,1,1
273,10,0,1
273,10,1,1
273,11,0,1
273,11,1,1
273,12,0,1
273,12,1,1
273,13,0,1
273,13,1,1
273,14,0,1
273,14,1,1
273,15,0,1
273,15,1,1
273,16,0,1
273,16,1,1
273,17,0,1
273,17,1,1
273,18,0,1
273,18,1,1
273,19,0,1
273,19,1,1
273,20,0,1
273,20,1,1
273,21,0,1
273,21,1,1
273,22,0,1
273,22,1,1
273,23,0,1
273,23,1,1
273,24,0,1
273,24,1,1
273,25,0,1
273,25,1,1
273,26,0,1
273,26,1,1
273,27,0,1
273,27,1,1
273,28,0,1
273,28,1,1
273,29,0,1
273,29,1,1
273,30,0,1
273,30,1,1
273,31,0,1
273,31,1,1
273,0,0,2
273,0,1,2
273,1,0,2
273,1,1,2
273,2,0,2
273,2,1,2
273,3,0,2
273,3,1,2
273,4,0,2
273,4,1,2
273,5,0,2
273,5,1,2
273,6,0,2
273,6,1,2
273,7,0,2
273,7,1,2
273,8,0,2
273,8,1,2
273,9,0,2
273,9,1,2
273,10,0,2
273,10,1,2
273,11,0,2
273,11,1,2
273,12,0,2
273,12,1,2
273,13,0,2
273,13,1,2
273,14,0,2
273,14,1,2
273,15,0,2
273,15,1,2
273,16,0,2
273,16,1,2
273,17,0,2
273,17,1,2
273,18,0,2
273,18,1,2
273,19,0,2
273,19,1,2
273,20,0,2
273,20,1,2
273,21,0,2
273,21,1,2
273,22,0,2
273,22,1,2
273,23,0,2
273,23,1,2
273,24,0,2
273,24,1,2
273,25,0,2
273,25,1,2
273,26,0,2
273,26,1,2
273,27,0,2
273,27,1,2
273,28,0,2
273,28,1,2
273,29,0,2
273,29,1,2
273,30,0,2
273,30,1,2
273,31,0,2
273,31,1,2
273,0,0,3
273,0,1,3
273,1,0,3
273,1,1,3
273,2,0,3
273,2,1,3
273,3,0,3
273,3,1,3
273,4,0,3
273,4,1,3
273,5,0,3
273,5,1,3
273,6,0,3
273,6,1,3
273,7,0,3
273,7,1,3
273,8,0,3
273,8,1,3
273,9,0,3
273,9,1,3
273,10,0,3
273,10,1,3
273,11,0,3
273,11,1,3
273,12,0,3
273,12,1,3
273,13,0,3
273,13,1,3
273,14,0,3
273,14,1,3
273,15,0,3
273,15,1,3
273,16,0,3
273,16,1,3
273,17,0,3
273,17,1,3
273,18,0,3
273,18,1,3
273,19,0,3
273,19,1,3
273,20,0,3
273,20,1,3
273,21,0,3
273,21,1,3
273,22,0,3
273,22,1,3
273,23,0,3
273,23,1,3
273,24,0,3
273,24,1,3
273,25,0,3
273,25,1,3
273,26,0,3
273,26,1,3
273,27,0,3
273,27,1,3
273,28,0,3
273,28,1,3
273,29,0,3
273,29,1,3
273,30,0,3
273,30,1,3
273,31,0,3
273,31,1,3
